rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles	cluster
L2769	Fc1cnc(Cl)nc1-c1cnc2ncccn12	CN1CCN(c2ccc(N)cn2)CC1	CN1CCN(c2ccc(Nc3ncc(F)c(-c4cnc5ncccn45)n3)cn2)CC1	82
L1711	C[Si](C)(C)CCOCn1cc(C#N)c2c(NC3CCOCC3)nc(Cl)nc21	COc1cc(N2CCCC2=O)ccc1N	COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCOCC2)c2c(C#N)cn(COCC[Si](C)(C)C)c2n1	83
L186	O=c1[nH]nc(-c2ccnc(Br)c2)n1-c1ccc2ccccc2c1	NC1CC1	O=c1[nH]nc(-c2ccnc(NC3CC3)c2)n1-c1ccc2ccccc2c1	84
L7757	CCN(CC)c1cnc2ccc(-c3nc(Cl)ncc3F)cc2n1	CC(C)N1CCN(C(=O)c2ccc(N)nc2)CC1	CCN(CC)c1cnc2ccc(-c3nc(Nc4ccc(C(=O)N5CCN(C(C)C)CC5)cn4)ncc3F)cc2n1	85
L12734	Clc1cccc(Cn2ccc3cnc(Cl)nc32)c1	CN1CCN(c2ccc(N)cc2)CC1	CN1CCN(c2ccc(Nc3ncc4ccn(Cc5cccc(Cl)c5)c4n3)cc2)CC1	86
L10662	CC(C)(C)OC(=O)N1C2CC1CN(c1ccc(Cl)nn1)C2	Nc1ccc(O)cc1	CC(C)(C)OC(=O)N1C2CC1CN(c1ccc(Nc3ccc(O)cc3)nn1)C2	87
L8768	Nc1cc(Cl)ncn1	Clc1cccc(Cl)c1-c1nc2c(Br)nccc2[nH]1	Clc1cc(Nc2nccc3nc(-c4c(Cl)cccc4Cl)[nH]c23)ncn1	88
L8620	Clc1cccnc1Br	Nc1ccccc1	Clc1cccnc1Nc1ccccc1	89
L8081	CC(C)n1cc(-c2ccnc(Cl)n2)cn1	Nc1ccc2c(c1)CCN2S(=O)(=O)c1ccc(C(F)(F)F)cc1	CC(C)n1cc(-c2ccnc(Nc3ccc4c(c3)CCN4S(=O)(=O)c3ccc(C(F)(F)F)cc3)n2)cn1	90
L7642	Clc1ccc2nc(Cl)nc(Cl)c2c1	Cc1cc(/C=C/C#N)cc(F)c1N	Cc1cc(/C=C/C#N)cc(F)c1Nc1nc(Cl)nc2ccc(Cl)cc12	91
