rxn_id	ligand_1_name	ligand_1_cas	ligand_1_smiles	startingmat_1_cas	startingmat_1_smiles	startingmat_2_cas	startingmat_2_smiles	product_1_smiles	product_1_yield
AN-028	L-028	856405-77-1	CC1(C)C2=C(C(P(C(C)(C)C)C(C)(C)C)=CC=C2)OC3=C(P(C(C)(C)C)C(C)(C)C)C=CC=C31	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1
AN-029	L-029	1355318-32-9	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P3C(C)(C)CCCCC3(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	3.8
AN-030	L-030	603-35-0	P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	5
AN-031	L-031	1355318-15-8	CC1(C)CC2(OCCO2)CC(C)(C)P1C3=CC=CC=C3C4=C(C=CC=C5)C5=CC=C4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	9.7
AN-032	L-032	1355318-14-7	CC1(C)CC2(OCCO2)CC(C)(C)P1C3=CC=C(C=CC=C4)C4=C3C5=C(C=CC=C6)C6=CC=C5OC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	4.7
AN-033	L-033	98327-87-8	C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(C=CC=C4)C4=C1C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	15.6
AN-034	L-034	158923-11-6	C[C@@]([H])(P(C(C)(C)C)C(C)(C)C)c1cccc1P(C2CCCCC2)C3CCCCC3.[Fe+2].c4cccc4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.2
AN-035	L-035	1810068-30-4	CN(C)C1=CC=CC(N(C)C)=C1C2=C(P(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C(OC)=CC=C2OC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	29.8
AN-036	L-036	6737-42-4	P(CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	3.7
AN-037	L-037	1355318-07-8	CC1(C)CC2(OCCO2)CC(C)(C)P1C3=CC=CC=C3C4=C(N(C)C)C=CC=C4OC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	7.9
AN-038	L-038	2380310-04-1	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2P3C(C)(C)CC4(OCCO4)CC35CCCCC5	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	5.4
AN-039	L-039	1447963-71-4	CN(C)C(C=CC=C1N(C)C)=C1C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	74.9
AN-040	L-040	1660153-91-2	CN(C)C(C=CC=C1N(C)C)=C1C2=C(P(C(C)(C)C)C3=CC=CC=C3)C=CC=C2	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	80.9
AN-041	L-041	97239-80-0	P(C(C)C)(C(C)C)[C-]12[CH]3=[CH]4[CH]5=[CH]1[Fe+2]45678932[CH]=%10[CH]9=[CH]8[C-]7(P(C(C)C)C(C)C)[CH]%106	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	10.4
AN-042	L-042	121954-50-5	CC(C)(C)P(C(C)(C)C)CC1=C(CP(C(C)(C)C)C(C)(C)C)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.2
AN-043	L-043	364732-88-7	C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC(CC4)=CC=C1CCC5=CC=C4C(P(C6=CC=CC=C6)C7=CC=CC=C7)=C5	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	69.1
