rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles
L12113	CC1CCC(C(C)C)C(Oc2cccc(Br)n2)C1	CC1CCC(C(C)C)C(Oc2cccc(N)n2)C1	CC1CCC(C(C)C)C(Oc2cccc(Nc3cccc(OC4CC(C)CCC4C(C)C)n3)n2)C1
L12114	CC1CCC(C(C)C)C(Oc2cccc(Br)n2)C1	CC(C)c1cccc(N)n1	CC1CCC(C(C)C)C(Oc2cccc(Nc3cccc(C(C)C)n3)n2)C1
L12115	CC1(C)[C@H]2CC[C@]1(C)[C@H](Oc1cccc(Br)n1)C2	CC1(C)[C@H]2CC[C@]1(C)[C@H](Oc1cccc(N)n1)C2	CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](Oc1cccc(Nc3cccc(O[C@H]4C[C@H]5CC[C@]4(C)C5(C)C)n3)n1)C2
L12116	COC(c1cccc(Br)n1)C(C)(C)C	COC(c1cccc(N)n1)C(C)(C)C	COC(c1cccc(Nc2cccc([C@@H](OC)C(C)(C)C)n2)n1)C(C)(C)C
L12117	Brc1ccccn1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccccn1
L12118	Clc1ncccn1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ncccn1
L12119	O=[N+]([O-])c1ccc(Br)cn1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc([N+](=O)[O-])nc1
L12120	Brc1ccccc1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccccc1
L12121	COC(=O)c1ccc(Cl)cc1	C[Si](C)(C)CCS(N)(=O)=O	COC(=O)c1ccc(NS(=O)(=O)CC[Si](C)(C)C)cc1
L12122	N#Cc1ccc(Cl)c([N+](=O)[O-])c1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc(C#N)cc1[N+](=O)[O-]
L12123	CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1	C[Si](C)(C)CCS(N)(=O)=O	CC(=O)c1ccc(NS(=O)(=O)CC[Si](C)(C)C)c([N+](=O)[O-])c1
L12124	N#Cc1cccc(Br)c1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1cccc(C#N)c1
L12125	CCOC(=O)c1cccc(Br)c1	C[Si](C)(C)CCS(N)(=O)=O	CCOC(=O)c1cccc(NS(=O)(=O)CC[Si](C)(C)C)c1
L12126	CCOC(=O)c1ccc(Br)cc1	C[Si](C)(C)CCS(N)(=O)=O	CCOC(=O)c1ccc(NS(=O)(=O)CC[Si](C)(C)C)cc1
L12127	N#Cc1ccc(Br)cc1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc(C#N)cc1
L12128	O=[N+]([O-])c1ccccc1Br	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccccc1[N+](=O)[O-]
L12129	FC(F)(F)c1ccc(Br)cc1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1
